# nameCn	nameKr	status	note
神翼护胫	날개 각반	confirmed
精灵石之戒	정령석 반지	confirmed
屠龙勋章	용살자 훈장	confirmed
霸者徽章	패자의 휘장	confirmed
孤星腕轮	고독한 별의 팔찌	confirmed
索尔的项链	토르의 목걸이	confirmed
审判魔符	심판의 부적	confirmed
神圣指环	신성한 반지	confirmed
德罗普尼尔	드라우프니르	confirmed
次元宝珠	차원보옥	confirmed
星之耳坠	별 귀걸이	confirmed
圣杯	성배	confirmed
恐惧魔眼	공포의 마안	confirmed
兰德维蒂玫瑰	란드비디의 장미	confirmed
神行靴	신속 부츠	confirmed
光之面纱	빛의 면사포	confirmed
圣骨	성골	confirmed
圣王护符	성왕호부	confirmed
血之盟约	피의 맹약	confirmed
巨人腰带	거인의 허리띠	confirmed
精灵腰带	엘프의 허리띠	confirmed
妖精的步伐	요정의 발걸음	confirmed
女神之泪	여신의 눈물	confirmed
真十字架	진십자가	confirmed
天使之羽	천사의 깃털	confirmed
星运时轨	성운의 궤적	confirmed
敛辉圣翼	빛나는 검의 날개	confirmed
灾厄使徒	재앙의 사도	confirmed
回溯之锋	반전의 칼날	confirmed
渴血之钉	굶주린 피의 못	confirmed
囚徒的齿轮	죄인의 톱니바퀴	confirmed
氤氲之心	오오라 하트	confirmed
暗谋坠饰	어둠의 목걸이	confirmed
晨昏之星	초저녁의 별	confirmed
红色小棉袜	티타늄 부츠	confirmed
溟蚀潮音	바다의 파도소리	confirmed
创世法则	천지창조 법전	confirmed
晶翠灵蝶	푸른 정령의 나비	confirmed
岚砂之绊	모래바람의 인연	confirmed
机巧核心	정밀 코어	confirmed
铸剑者勋章	성검 훈장	confirmed
海蕴之瓶	바다의 축복	confirmed
救赎之心	구원의 마음	confirmed
永劫之剪	영겁의 가위	confirmed
世界魔方	세계 루빅큐브	confirmed
天才的注视	천재의 시선	confirmed
咒溯摇铃	저주의 방울	confirmed
Q巨拉	미니 쥬그라	confirmed
团结	단결의 반지	confirmed	owner=매튜
永夜之钥	극야의 열쇠	confirmed	owner=이리스
海洋之心	오션즈 하트	confirmed	owner=알프레드
红月之心	크림조의 심장	confirmed	owner=레인폴스
妖精之翼	요정의 날개	confirmed	owner=리파니
世界树的繁花	세계수의 꽃	confirmed	owner=람다
痴情香氛	집착의 향수	provisional-display
寻迹之书	추적의 책	provisional-display
小熊玩偶	곰인형	duplicate-non-display	duplicateOf=미니 쥬그라
游击士勋章	유격사 훈장	duplicate-non-display	duplicateOf=성검 훈장
魂·唤蛇吊坠	미확정	unresolved-non-public	이벤트 용 아이템
魂·震碎之戒	미확정	unresolved-non-public	이벤트 용 아이템
正宗寻宝护符	미확정	unresolved-non-public	이벤트 용 아이템
