埃尼亚斯之甲	아이니아스의 갑옷
大地之铠	대지의 갑옷
血纹魔铠	피무늬 마갑
风王战甲	풍왕의 갑옷
镜面铠甲	거울 갑옷
原质之铠	태초의 갑옷
暮色轻甲	노을 갑옷
突击猎装	돌격 갑옷
石像鬼外套	가고일 외투
金刚背心	다이아몬드 갑옷
魔蜴外皮	몰록의 외피
最后之服	최후의 옷
天女羽衣	천녀의 날개옷
暗之法衣	어둠의 법의
女神法衣	여신의 드레스
群星斗篷	별무리 망토
死神之衣	사신의 옷
巴德尔的白袍	발두르의 로브
旭日锁甲	여명의 사슬
崇辉甲胄	빛나는 숭배의 갑주
锋疆禁铠	금기의 갑옷
提娅玛特之佑	티아매트의 가호
守卫者禁甲	수호자의 갑옷
万古板甲	이터니티 아머
巨人的抗争	티탄의 항쟁
冰锋战甲	마경 갑옷
深洋的恩佑	심해의 은혜
狩猎戎革	사냥 군장
同盟影衣	동맹의 그림자 옷
流光战衣	윤기나는 전장 갑옷
影渊鳞衣	심연의 옷
华击团制服	화격단 제복(가시갑옷과 동일 아이템, 표기 필요 없음)
奥法的致意	아르카나의 인사
惑星之仪	행성의 예
死神的新衣	사신의 로브
旋云法袍	나선 구름 법의
暮星守护	저녁별의 가호
福金之翼	후긴의 날개

浩劫角铠	재앙의 뿔 갑옷
森罗蟒铠	뱀 이빨 갑옷
黑帆船长袍	범선의 검은 코트
苔蔓甲衣	이끼 갑옷
逆矢外壳	가시갑옷
炎灵之袍	염령의 로브
冠冕之裘	황실의 로브

霸王战甲	패왕의 전투 갑주, 베른하르트 전용장비
遗忘的传说	잊혀진 전설, 이졸데 전용장비
帝授的荣勋	황제가 내린 훈장, 안드리올 전용장비
死刃之拥	칼날의 포옹, 세라피나 전용장비
铁锈与荣光	녹과 영광, 호프만 전용장비
青龙之胄	청룡의 갑옷, 레온 전용장비
交织的夙愿	엇갈린 숙명, 빛과 그림자 검의 영혼 전용장비
黎明守护者	여명의 수호자, 세레나 전용장비
强袭异铠	크림조 아머, 비라쥬 전용장비
月之回忆	아득한 달의 기억, 브렌다 전용장비
炎龙金辉	염룡의 휘광, 발가스 전용장비
浪逐之殇	방랑의 상처, 방랑투사 전용장비
璨月晶铠	황금 수정의 갑옷, 헬레나 전용장비
构造躯体αEX	개조된 신체 αEX, 알파 전용장비
猩红武装	선홍색 무장, 힐다 전용장비
皇权禁铠	금단의 황실 갑옷, 오토크라트 4세 전용장비
1UP	1UP, 쉐리 전용장비
重山行袍	산행의 망토, 군 전용장비
溯源之路	기원 탐구의 길, 네미아 전용장비
绝翼战甲	타락한 날개, 빈센트 전용장비
黑色新娘	검정 드레스, 라나 전용장비
魔导防护服	마도 방어복, 레이첼 전용장비
梦帷纱帔	꿈의 망토, 란델 전용장비
神佑的幸月	축복의 달, 아리아 전용장비
浴火之衣	플레임 코트, 에그베르트 전용장비
曙光的秘意	새벽빛의 비밀, 롤랑 전용장비
沉默的告白	침묵의 고백, 투어밀크 전용장비
雪祭灵袍	겨울의 제사 로브, 사그니 전용장비
浩渺之谜	아득한 수수께끼, 아단켈모 전용장비
卡奥斯的赐福	카오스의 축복, 보젤 전용장비
无瑕的颂赞	완벽한 찬사, 리아나 전용장비
女神的洁纱	여신의 순결한 옷, 유리아 전용장비
月蚀斗衣	월식 갑옷, 크림조의 왕 전용장비
失落的穹光	성광의 베일, 소피아 전용장비

魂·护盾盔甲	미확정, 이벤트 아이템
魂·破碎战甲	미확정, 이벤트 아이템
魂·陷阵战甲	미확정, 이벤트 아이템
魂·共鸣法衣	미확정, 이벤트 아이템
魂·化龙盔甲	미확정, 이벤트 아이템
魂·血族法袍	미확정, 이벤트 아이템
