# nameCn	nameKr	status	note
埃尼亚斯之盔	아이니아스의 투구	confirmed
大地之盔	대지의 투구	confirmed
领袖之盔	지도자의 투구	confirmed
吸血鬼假面	흡혈귀 가면	confirmed
死神的呼吸	사신의 호흡	confirmed
原质头盔	태초의 투구	confirmed
暮色头盔	노을 투구	confirmed
突击头饰	돌격 투구	confirmed
王者之冠	제왕의 관	confirmed
洛基的假面	로키의 가면	confirmed
耶梦加得之眼	요르문간드의 눈	confirmed
尼约德的羽冠	뇨르드의 깃털관	confirmed
天女头饰	천녀의 티아라	confirmed
暗之法冠	어둠의 법모	confirmed
光辉头饰	빛의 서클렛	confirmed
摄魂法帽	섭혼의 법모	confirmed
冥府渡神	카론의 모자	confirmed
奥丁的宽檐帽	오딘의 모자	confirmed
林原禁盔	숲의 투구	confirmed
宵影羽盔	밤 그림자의 투구	confirmed
冥澜之怒	어둠의 분노	confirmed
里格重盔	리그의 중갑 투구	confirmed
提尔之怒	티르의 분노	confirmed
夜之枭影	밤의 올빼미	confirmed
晴雪绒帽	눈설탕 모자	confirmed
魔龙的凝视	마룡의 응시	confirmed
苍白天启	창백한 묵시록	confirmed
猎魔礼帽	마물 헌터캡	confirmed
星绛之幕	별의 장막	confirmed
森罗冕冠	삼라의 왕관	confirmed
感电头饰	감전 서클렛	confirmed
最终保暖兵器	최종 보온 병기	confirmed
尘世之光	속세의 빛	confirmed
霜火之冠	서리 불꽃의 서클렛	confirmed
魔女的追想	마녀의 추억	confirmed
驯鹿礼帽	세계수의 왕관	confirmed
心视荣盔	심안의 투구	confirmed
人鱼的传说	인어의 전설	confirmed
亘古的呼唤	영겁의 부름	confirmed
鲜花礼帽	꽃모자	confirmed
暮色蝶梦	붉은 나비의 꿈	confirmed
黄金狮子	황금 사자	confirmed	owner=디하르트
古巨美的馈赠	쥬그미의 선물	confirmed	owner=쥬그라
远见	예지	confirmed	owner=에마링크
兰芳特的次选	란포드의 최종 선택	confirmed	owner=란포드
贝奥夫的殒冠	베오프의 비극	confirmed	owner=샘
失落的黎明	잃어버린 여명	confirmed	owner=이미르
浪潮回响	파도의 메아리	confirmed	owner=노노린
始王之胄	초대 왕의 후손	confirmed	owner=테란틸
黯翼翎盔	암흑 날개 투구	confirmed	owner=타브리스
荆棘皇冠	가시 왕관	confirmed	owner=프레아
魔渊天启	심연의 계시	confirmed	owner=강신자
逐梦之冠	꿈을 쫓는 이의 관	confirmed	owner=그레니어
霜冬的傲意	겨울 서리의 오만	confirmed	owner=그렌실
先灵的呢喃	선령의 속삭임	confirmed	owner=폴리알
卡尔萨斯之冠	칼자스의 왕관	confirmed	owner=란스
烬火的守望	잿불의 수호	confirmed	owner=빛의 수호사도
燎星之陨	파멸의 샛별	confirmed	owner=베티
逆羽的假面	역날개의 가면	confirmed	owner=실린카
真格的英豪	진정한 영웅	confirmed	owner=리키
逆载锋盔	역행의 투구	confirmed	owner=캐롤리안
芳华诗冠	깃털 장식 모자	confirmed	owner=크리스티아네
远古圣王冠冕	고대 성왕의 왕관	confirmed	owner=루인
利古里亚之冠	리그리아 왕관	confirmed	owner=알테뮬러
风中之花	바람의 꽃	confirmed	owner=안젤리나
笠	삿갓	confirmed	owner=키리카제
断翎掠影	부러진 깃털의 잔상	confirmed	owner=날개 꺾인 새
天马之辉耀	페가수스의 광휘	confirmed	owner=에쉬앤
孤骑决意	고독한 기사의 결의	confirmed	owner=티아나
黑喵船长帽	검은 고양이 선장 모자	confirmed	owner=캡틴 잭
梦魇的面容	악몽의 속삭임	confirmed	owner=페라키아
温暖的回忆	따뜻한 기억	confirmed	owner=젤다
义贼的假面	의적의 가면	confirmed	owner=실버울프
风之翎羽	바람을 싣는 날개	confirmed	owner=엘라스타
惩恶侠影	징벌의 협객	confirmed	owner=타탈리아
锐目透镜	애널라이즈 글래스	confirmed	owner=시그마
Y型视觉终端	Y자 비주얼 디바이스	confirmed	owner=요아&코니
风袭翼盔	스칼렛 윈드	confirmed	owner=파나
行刑者的缄默	처형자의 침묵	confirmed	owner=줄리안
机核元组	메카파츠	confirmed	owner=마크렌
女武神灿星	발키리의 샛별	confirmed	owner=나암
