# nameCn	nameKr	status	note
冰霜之刃	서리검	confirmed
屠龙剑格拉姆	용살검 그람	confirmed
嗜血剑赫伦汀	흡혈검 흐룬팅	confirmed
封印守护者	봉인의 수호자	confirmed
夜鹰	쏙독새	confirmed
莎拉维尔	사라빌	confirmed
风斩	바람베기	confirmed
妖精之叹	요정의 탄식	confirmed
最后的骑士	최후의 기사	confirmed
诅咒之枪	저주의 창	confirmed
蓝色惑星	푸른 혹성	confirmed
世界树的嫩枝	세계수의 가지	confirmed
恶魔之吻	악마의 키스	confirmed
王座守卫	왕의 수호자	confirmed
拉格纳罗克	라그나로크	confirmed
纷争调停者	분쟁 조정자	confirmed
正义誓言	정의의 선서	confirmed
米约尔尼尔	묠니르	confirmed
碎星	행성 파괴자	confirmed
永生者的馈赠	영생자의 선물	confirmed
真理的门扉	진리의 문	confirmed
乌勒尔之弓	우르의 활	confirmed
海德拉之弓	히드라의 활	confirmed
血之三弦琴	피의 삼현금	confirmed
极限魔弓	극한마궁	confirmed
寄生树	기생수	confirmed
亚斯塔禄	아스타로트	confirmed
奇迹之杖	기적의 지팡이	confirmed
女神的左手	여신의 왼손	confirmed
红色之月	붉은 달	confirmed
蓝色之月	푸른 달	confirmed
奥瓦的手杖	오바의 지팡이	confirmed
炼狱	지옥	confirmed
盟誓礼剑	맹세의 검	confirmed
斩风的骑士	바람의 기사	confirmed
均衡之刃	균형의 칼날	confirmed
迅银飞刀	은빛 단검	confirmed
水晶蜂刺	수정 단검	confirmed
拒马盾矛	퇴마 방패	confirmed
雷之神格	번개의 신격	confirmed
破阵之芒	파진의 가시	confirmed
鸡毛掸	먼지 떨이개	confirmed
真红死神	진홍의 사신	confirmed
遣罚碎骨锤	처벌의 망치	confirmed
弥米尔的战锤	미미르의 망치	confirmed
风暴卡路里	왕녀 지팡이	confirmed
潮汐星弦	파도와 별빛의 활	confirmed
弧光裂破者	아크 버스터	confirmed
潜伏者之刺	자객의 활	confirmed
恶念编织者	악념 계략가	confirmed
涤心	정화한 마음	confirmed
仲夜繁花	여름밤 만개한 꽃	confirmed
逸才权杖	재능의 상징	confirmed
苍白之杖	비극의 지팡이	confirmed
斩魔刀	참마도	confirmed
熔鳞之怒	용암 비늘의 분노	confirmed
血棘魔誓	혈가시의 맹약	confirmed
泰坦的怒吼	타이탄의 분노	confirmed
机魂之锤	기계 혼령의 망치	confirmed
流浪的骑士	방랑하는 기사	confirmed	owner=엘윈
命定的王剑	운명의 왕검	confirmed	owner=시온
统御锋芒	호령의 칼날	confirmed	owner=로비나 대제
圣光利刃	세인트 소드	confirmed	owner=로자리아
机动爆碎剑	기동 폭발검	confirmed	owner=베르너
寂灭·改	소멸 · 개	confirmed	owner=입실론
最后的觐见	마지막 알현	confirmed	owner=마카엘라
黑色曙光	검은 서광	confirmed	owner=소니아
时序之芒	순차의 빛	confirmed	owner=프레시아
灵翠棘枪	반짝이는 가시창	confirmed	owner=아마데우스
圣灵之触	성령의 손길	confirmed	owner=아카야
守护者的追忆	수호자의 추억	confirmed	owner=란디우스
魔科学武装	마도 과학 무장	confirmed	owner=미셸
■■■■	■■■■	confirmed	owner=아멜다
信仰的试炼	신앙의 시련	confirmed	owner=레딘
盛夏的追忆	그 여름의 기억	confirmed	owner=일루시아
荣耀的传承	영광의 전승	confirmed	owner=에밀리아
同心的守护	나의 수호자	confirmed	owner=제리올&레이라
圣义连枷	저스티스 플레일	confirmed	owner=마리엘
辉光裁决士	빛의 심판자	confirmed	owner=수제트
妖精的新芽	엘프의 새싹	confirmed	owner=사프린
赤红之息	붉은 숨결	confirmed	owner=패트리샤
远海汐谣	먼 바다의 조가비	confirmed	owner=님프
灭创之权杖	파멸과 창조의 지팡이	confirmed	owner=기자로프
绝命除尘令	치명적인 빗자루	confirmed	owner=마이야
元气召唤者	활기찬 소환사	confirmed	owner=멜파니
守护之誓	수호의 맹세	confirmed	owner=미지의 기사
湮灭巨刃	소멸의 대검	provisional-display
噬魂骨锥	영혼을 삼키는 뼈송곳	provisional-display
炼金之律	연금의 법칙	provisional-display	owner=셀리카
新帝国的重刃	신제국의 대검	provisional-display	owner=레이피어
守望之刃	수호의 칼날	provisional-display	owner=루크만
灵剑荒鹰	영검 아라타카	duplicate-non-display	duplicateOf=참마도
噬岩者	케른바이터	duplicate-non-display	duplicateOf=균형의 칼날
家用晾衣杆	옷걸이 집게 봉	duplicate-non-display	duplicateOf=먼지 떨이개
魔导杖	마도 지팡이	duplicate-non-display	duplicateOf=비극의 지팡이
魂·唤蛇秘杖	미확정	unresolved-non-public	이벤트 용 아이템
魂·震碎链枷	미확정	unresolved-non-public	이벤트 용 아이템
